n_ind,loc,spd,dt,eng,remark
32,0.33014,1.00,0,1601259.08,alive
32,1.00000,1.00,0.73,1601259.08,alive
32,1.12825,0.50,0.13,1146463.60,elastic-scatter
32,1.12945,0.25,0.01,820840.80,elastic-scatter
32,1.06898,0.13,0.30,587702.59,elastic-scatter
32,1.06745,0.06,0.02,420781.14,elastic-scatter
32,1.07297,0.03,0.09,301269.34,elastic-scatter
32,1.06802,0.02,0.22,215701.72,elastic-scatter
32,1.06731,0.01,0.06,154437.32,elastic-scatter
32,1.06665,0.00,0.31,110573.47,elastic-scatter
32,1.06637,0.00,0.30,79167.99,elastic-scatter
32,1.06716,0.00,0.45,56682.40,elastic-scatter
32,1.06737,0.00,0.39,40583.26,elastic-scatter
32,1.06748,0.00,0.21,29056.65,elastic-scatter
32,1.06747,0.00,0.09,20803.88,elastic-scatter
32,1.06744,0.00,0.21,14895.08,elastic-scatter
32,1.06744,0.00,0.01,10664.53,captured
33,0.29267,1.00,0,5105.97,alive
33,1.00000,1.00,0.74,5105.97,alive
33,1.20135,0.50,0.20,3655.75,elastic-scatter
33,1.22700,0.25,0.12,2617.43,elastic-scatter
33,1.22555,0.13,0.01,1874.02,elastic-scatter
33,1.22554,0.06,0.03,1341.75,elastic-scatter
33,1.22403,0.03,0.03,960.66,elastic-scatter
33,1.23121,0.02,0.47,687.81,elastic-scatter
33,1.23121,0.01,0.00,492.46,elastic-scatter
33,1.23057,0.00,0.11,352.59,elastic-scatter
33,1.23067,0.00,0.04,252.44,elastic-scatter
33,1.23068,0.00,0.09,180.74,elastic-scatter
33,1.23070,0.00,0.03,129.41,elastic-scatter
33,1.23097,0.00,0.69,92.65,elastic-scatter
33,1.23095,0.00,0.06,66.34,elastic-scatter
33,1.23096,0.00,0.17,47.50,elastic-scatter
33,1.23094,0.00,0.38,34.01,elastic-scatter
33,1.23094,0.00,0.04,24.35,elastic-scatter
33,1.23094,0.00,0.04,17.43,elastic-scatter
33,1.23094,0.00,0.12,12.48,elastic-scatter
33,1.23094,0.00,0.06,8.94,elastic-scatter
33,1.23094,0.00,0.35,6.40,elastic-scatter
33,1.23094,0.00,0.03,4.58,elastic-scatter
33,1.23094,0.00,0.18,3.28,elastic-scatter
33,1.23094,0.00,0.06,2.35,elastic-scatter
33,1.23094,0.00,0.10,1.68,elastic-scatter
33,1.23094,0.00,0.06,1.20,elastic-scatter
33,1.23094,0.00,0.05,0.86,captured
34,0.75259,1.00,0,2000087.00,alive
34,1.00000,1.00,0.49,2000087.00,alive
34,1.41576,0.50,0.53,1432014.95,captured
35,0.17378,1.00,0,0.13,alive
35,1.00000,1.00,0.83,0.13,alive
35,1.21051,0.50,0.21,0.09,captured
36,0.09660,1.00,0,2000098.00,alive
36,1.00000,1.00,1.04,2000098.00,alive
36,1.02529,0.50,0.03,1432022.83,elastic-scatter
36,1.03331,0.25,0.24,1025294.45,elastic-scatter
36,1.05287,0.12,0.26,734086.56,elastic-scatter
36,1.06669,0.06,0.41,525588.60,elastic-scatter
36,1.06783,0.03,0.03,376309.00,elastic-scatter
36,1.06685,0.02,0.05,269428.34,elastic-scatter
36,1.06866,0.01,0.16,192904.31,elastic-scatter
36,1.06882,0.00,0.11,138114.92,elastic-scatter
36,1.06769,0.00,0.30,98887.01,elastic-scatter
36,1.06762,0.00,0.14,70800.76,elastic-scatter
36,1.06789,0.00,0.38,50691.67,elastic-scatter
36,1.06786,0.00,0.10,36294.04,elastic-scatter
36,1.06785,0.00,0.13,25985.67,elastic-scatter
36,1.06781,0.00,0.35,18605.13,elastic-scatter
36,1.06781,0.00,0.06,13320.83,elastic-scatter
36,1.06780,0.00,0.40,9537.40,elastic-scatter
36,1.06780,0.00,0.28,6828.55,elastic-scatter
36,1.06780,0.00,0.36,4889.08,elastic-scatter
36,1.06780,0.00,0.01,3500.47,elastic-scatter
36,1.06780,0.00,0.07,2506.25,elastic-scatter
36,1.06780,0.00,0.13,1794.42,elastic-scatter
36,1.06780,0.00,0.07,1284.76,elastic-scatter
36,1.06780,0.00,0.11,919.86,elastic-scatter
36,1.06780,0.00,0.15,658.60,elastic-scatter
36,1.06780,0.00,0.16,471.54,elastic-scatter
36,1.06780,0.00,0.00,337.61,elastic-scatter
36,1.06780,0.00,0.10,241.72,elastic-scatter
36,1.06780,0.00,0.17,173.07,elastic-scatter
36,1.06780,0.00,0.22,123.91,elastic-scatter
36,1.06780,0.00,0.17,88.72,elastic-scatter
36,1.06780,0.00,0.54,63.52,elastic-scatter
36,1.06780,0.00,0.05,45.48,elastic-scatter
36,1.06780,0.00,0.31,32.56,elastic-scatter
36,1.06780,0.00,0.07,23.31,elastic-scatter
36,1.06780,0.00,0.05,16.69,elastic-scatter
36,1.06780,0.00,0.12,11.95,elastic-scatter
36,1.06780,0.00,0.16,8.56,elastic-scatter
36,1.06780,0.00,0.28,6.13,elastic-scatter
36,1.06780,0.00,0.28,4.39,elastic-scatter
36,1.06780,0.00,0.11,3.14,elastic-scatter
36,1.06780,0.00,0.21,2.25,elastic-scatter
36,1.06780,0.00,0.22,1.61,elastic-scatter
36,1.06780,0.00,0.01,1.15,elastic-scatter
36,1.06780,0.00,0.08,0.83,captured
37,0.26300,1.00,0,2000049.00,alive
37,1.00000,1.00,1.07,2000049.00,alive
37,1.00969,0.50,0.01,1431987.75,elastic-scatter
37,1.00756,0.25,1.06,1025269.33,elastic-scatter
37,1.01010,0.13,0.06,734068.58,elastic-scatter
37,1.07508,0.06,0.54,525575.73,captured
38,0.71153,1.00,0,1057755.11,alive
38,1.00000,1.00,1.62,1057755.11,alive
38,1.03744,0.50,0.04,757327.62,elastic-scatter
38,1.03872,0.25,0.00,542228.65,elastic-scatter
38,1.04474,0.13,0.05,388222.88,elastic-scatter
38,1.06583,0.06,0.30,277958.39,elastic-scatter
